"id_ref_prime","norubr","libelle","description","type_saisie","aide","mairie_prime","is_calculee","statut","version"
"11","7120","PRIME DE PERMANENCE","Prime forfaitaire mensuelle de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","F","0"
"12","7120","PRIME DE PERMANENCE","Prime forfaitaire mensuelle de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","C","0"
"13","7120","PRIME DE PERMANENCE","Prime forfaitaire mensuelle de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","CC","0"
"14","7123","INDEMNITE DE PERMANENCE CFM","Prime forfaitaire journalière de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","F","0"
"15","7652","INDEMNITE FORFAITAIRE TRAVAIL DJF","Prime forfaitaire de 8500F par dimanche ou JF travaillé, quelque soit le nb d'heures travaillées","0","Cocher la case à partir de 2heures minimums et consécutives travaillées un dimanche ou un jour férié.  Merci de renseigner les horaires dans le motif sous peine d'annulation par la DRH.","SPPPRM","false","F","0"
"16","7709","INDEMNITE PARTICIPATION AUTOPSIES TARIF I","Prime forfaitaire de 12000F/autopsie","2","Saisir le nombre d'indemnités par jour","SPPRIM","false","F","0"
"17","7710","INDEMNITE PARTICIPATION AUTOPSIES TARIF II","Prime forfaitaire de 15000F/autopsie","2","Saisir le nombre d'indemnités par jour","SPPRIM","false","C","0"
"18","7712","INDEMNITE HORAIRE TRAVAIL DJF DPM","NULL","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","CC","0"
"19","7715","INDEMNITE DE ROULEMENT","Les agents ""de terrain"" de la DPM fonctionnent par ""roulements"" sur une journée de 24h et saisissent ainsi une ""indemnité de roulement"" sous la forme d’heures de début et de fin de travail. Cette indemnité n’est pas valorisée elle-même financièrement mais sert juste à déduire  les 7711, 7712 et 7713","3","Saisir l'heure de début et l'heure de fin du roulement","NULL","false","C","0"
"20","7715","INDEMNITE DE ROULEMENT","Les agents ""de terrain"" de la DPM fonctionnent par ""roulements"" sur une journée de 24h et saisissent ainsi une ""indemnité de roulement"" sous la forme d’heures de début et de fin de travail. Cette indemnité n’est pas valorisée elle-même financièrement mais sert juste à déduire  les 7711, 7712 et 7713","3","Saisir l'heure de début et l'heure de fin du roulement","NULL","false","CC","0"
"21","7720","INDEMNITE TVX INSAL. DANG. 100%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","F","0"
"22","7720","INDEMNITE TVX INSAL. DANG. 100%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","C","0"
"23","7720","INDEMNITE TVX INSAL. DANG. 100%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","CC","0"
"24","7721","INDEMNITE TVX INSAL. DANG. 50%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","F","0"
"25","7721","INDEMNITE TVX INSAL. DANG. 50%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","C","0"
"26","7721","INDEMNITE TVX INSAL. DANG. 50%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","CC","0"
"27","7722","INDEMNITE TVX INSAL. DANG. 25%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","F","0"
"28","7722","INDEMNITE TVX INSAL. DANG. 25%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","CC","0"
"29","7750","INDEMNITE D'ACTIVITE","Anciennement prime de cimetière, calculée dans GIRAF selon un indice de cherté de vie","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","C","0"
"30","7731","INDTE FORFAITAIRE DE DERANGEMENT","Prime forfaitaire horaire","1","Saisir le nombre d'heures effectuées par jour","SPPPRM","false","F","0"
"31","7731","INDTE FORFAITAIRE DE DERANGEMENT","Prime forfaitaire horaire","1","Saisir le nombre d'heures effectuées par jour","SPPPRM","false","C","0"
"32","7731","INDTE FORFAITAIRE DE DERANGEMENT","Prime forfaitaire horaire","1","Saisir le nombre d'heures effectuées par jour","SPPPRM","false","CC","0"
"33","7750","INDEMNITE D'ACTIVITE","Anciennement prime de cimetière, calculée dans GIRAF selon un indice de cherté de vie","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","F","0"
"34","7750","INDEMNITE D'ACTIVITE","Anciennement prime de cimetière, calculée dans GIRAF selon un indice de cherté de vie","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","CC","0"
"35","7121","INDEMNITE D'ASTREINTE CFM","Prime forfaitaire journalière de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","F","0"
"36","7121","INDEMNITE D'ASTREINTE CFM","Prime forfaitaire journalière de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","C","0"
"37","7121","INDEMNITE D'ASTREINTE CFM","Prime forfaitaire journalière de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","CC","0"
"38","7123","INDEMNITE DE PERMANENCE CFM","Prime forfaitaire journalière de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","C","0"
"39","7123","INDEMNITE DE PERMANENCE CFM","Prime forfaitaire journalière de 3000F","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPRIM","false","CC","0"
"40","7650","INDEMNITE FORFAITAIRE TRAVAIL DE NUIT","Prime forfaitaire de 10000F/nuit ","0","Cocher la case à partir de 2heures minimums et consécutives travaillées entre 21h et 4h. Merci de renseigner les horaires dans le motif sous peine d'annulation par la DRH.","SPPPRM","false","F","0"
"41","7651","INDEMNITE FORFAITAIRE TRAVAIL DE NUIT DJF","NULL","0","Cocher la case à partir de 2heures minimums et consécutives travaillées entre 21h et 4h, un dimanche ou un jour férié.  Merci de renseigner les horaires dans le motif sous peine d'annulation par la DRH.","SPPPRM","false","F","0"
"42","7704","INDEMNITE DE PANIER","NULL","2","Saisir le nombre d'indemnités par jour (maximum 2)","SPPPRM","false","F","0"
"43","7704","INDEMNITE DE PANIER","NULL","2","Saisir le nombre d'indemnités par jour (maximum 2)","SPPPRM","false","C","0"
"44","7704","INDEMNITE DE PANIER","NULL","2","Saisir le nombre d'indemnités par jour (maximum 2)","SPPPRM","false","CC","0"
"45","7705","PRIME D'ASTREINTE","Prime forfaitaire de 2000F/astreinte","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPPRM","false","F","0"
"46","7705","PRIME D'ASTREINTE","Prime forfaitaire de 2000F/astreinte","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPPRM","false","C","0"
"47","7705","PRIME D'ASTREINTE","Prime forfaitaire de 2000F/astreinte","0","Cocher la case chaque jour où l'agent a droit à cette prime","SPPPRM","false","CC","0"
"48","7708","PRIME D'ASTREINTE HORAIRE","Prime forfaitaire horaire","1","Saisir le nombre d'heures d'astreinte effectuées par jour","SPPPRM","false","CC","0"
"49","7709","INDEMNITE PARTICIPATION AUTOPSIES TARIF I","Prime forfaitaire de 12000F/autopsie","2","Saisir le nombre d'indemnités par jour","SPPRIM","false","C","0"
"50","7709","INDEMNITE PARTICIPATION AUTOPSIES TARIF I","Prime forfaitaire de 12000F/autopsie","2","Saisir le nombre d'indemnités par jour","SPPRIM","false","CC","0"
"51","7710","INDEMNITE PARTICIPATION AUTOPSIES TARIF II","Prime forfaitaire de 15000F/autopsie","2","Saisir le nombre d'indemnités par jour","SPPRIM","false","F","0"
"52","7710","INDEMNITE PARTICIPATION AUTOPSIES TARIF II","Prime forfaitaire de 15000F/autopsie","2","Saisir le nombre d'indemnités par jour","SPPRIM","false","CC","0"
